Drug Name | Rating | Number of Reviews | Availability | Drug Classes | Primary Use
Amoxicillin  | 6.3  | 350  | Prescription only  | Aminopenicillins  | pneumonia
Amoxicillin and Clavulanate  | 5.2  | 873  | Prescription only  | Beta-lactamase inhibitors  | None
Anastrozole  | 5.2  | 213  | Prescription only  | Aromatase inhibitors  | breast cancer
Apixaban  | 5.0  | 244  | Prescription only  | Factor Xa inhibitors  | atrial fibrillation
Apriso  | 6.6  | 29  | Prescription only  | 5-aminosalicylates  | ulcerative colitis
Aptiom  | 6.6  | 36  | Prescription only  | Dibenzazepine anticonvulsants  | partial-onset seizures
Aricept  | 5.3  | 36  | Prescription only  | Cholinesterase inhibitors  | dementia
Arimidex  | 5.9  | 73  | Prescription only  | Aromatase inhibitors  | breast cancer
Aripiprazole  | 6.0  | 1412  | Prescription only  | Atypical antipsychotics  | schizophrenia
Aristada  | 3.2  | 14  | Prescription only  | Atypical antipsychotics  | schizophrenia
Aromasin  | 4.5  | 18  | Prescription only  | Aromatase inhibitors  | breast cancer
Aspirin  | 8.0  | 46  | Rx and/or OTC  | Platelet aggregation inhibitors  | pain
Atenolol  | 7.3  | 264  | Prescription only  | Cardioselective beta blockers  | angina
Ativan  | 8.0  | 455  | Prescription only  | Benzodiazepine anticonvulsants  | anxiety disorders
Atomoxetine  | 5.2  | 576  | Prescription only  | Adrenergic uptake inhibitors for ADHD  | ADHD
Atorvastatin  | 4.2  | 281  | Prescription only  | Statins  | high cholesterol
Aubagio  | 5.3  | 81  | Prescription only  | Selective immunosuppressants  | multiple sclerosis
Augmentin  | 5.4  | 431  | Prescription only  | Beta-lactamase inhibitors  | None
Azathioprine  | 6.0  | 121  | Prescription only  | Antirheumatics  | rheumatoid arthritis
Azilect  | 7.4  | 10  | Prescription only  | Dopaminergic antiparkinsonism agents  | Parkinson's disease
Azithromycin  | 6.9  | 1267  | Prescription only  | Macrolides  | ear infections
Baclofen  | 6.9  | 412  | Prescription only  | Skeletal muscle relaxants  | multiple sclerosis
Bactrim  | 5.3  | 601  | Prescription only  | Sulfonamides  | traveler's diarrhea
Bactroban  | 7.6  | 21  | Prescription only  | Topical antibiotics  | impetigo
Balsalazide  | 6.3  | 31  | Prescription only  | 5-aminosalicylates  | ulcerative colitis
Basaglar  | 2.4  | 144  | Prescription only  | Insulin  | diabetes mellitus
Belsomra  | 3.6  | 508  | Prescription only  | Miscellaneous anxiolytics, sedatives and hypnotics  | insomnia
Benadryl  | 7.1  | 71  | Rx and/or OTC  | Anticholinergic antiemetics  | allergy symptoms
Benazepril  | 5.3  | 22  | Prescription only  | Angiotensin Converting Enzyme Inhibitors  | high blood pressure
Benicar  | 7.3  | 114  | Prescription only  | Angiotensin receptor blockers  | high blood pressure
Benlysta  | 7.7  | 49  | Prescription only  | Selective immunosuppressants  | systemic lupus erythematosus (SLE)
Bentyl  | 7.5  | 127  | Prescription only  | Anticholinergics / antispasmodics  | irritable bowel syndrome
Benzonatate  | 3.9  | 699  | Prescription only  | Antitussives  | coughing
Benztropine  | 6.9  | 34  | Prescription only  | Anticholinergic antiparkinson agents  | Parkinson's disease
Betamethasone  | 8.6  | 47  | Prescription only  | Topical steroids  | eczema
Bethanechol  | 7.6  | 16  | Prescription only  | Miscellaneous genitourinary tract agents  | urinary retention
Bevacizumab  | 7.7  | 33  | Prescription only  | VEGF/VEGFR  inhibitors  | brain tumor
Bicalutamide  | 8.0  | 10  | Prescription only  | Antiandrogens  | prostate cancer
Biktarvy  | 6.9  | 171  | Prescription only  | Antiviral combinations  | human immunodeficiency virus (HIV
Biotin  | 5.4  | 50  | Rx and/or OTC  | Vitamins  | weight loss
Bismuth subsalicylate  | 7.8  | 30  | Rx and/or OTC  | Antidiarrheals  | diarrhea
Bisoprolol  | 6.5  | 94  | Prescription only  | Cardioselective beta blockers  | hypertension
Boniva  | 3.2  | 90  | Prescription only  | Bisphosphonates  | osteoporosis
Breo Ellipta  | 5.8  | 220  | Prescription only  | Bronchodilator combinations  | asthma
Briviact  | 6.1  | 43  | Prescription only  | Pyrrolidine anticonvulsants  | seizures
Brompheniramine, dextromethorphan, and pseudoephedrine  | 5.2  | 57  | Rx and/or OTC  | Upper respiratory combinations  | allergies
Budesonide  | 6.6  | 131  | Prescription only  | Glucocorticoids  | Crohn's disease
Bunavail  | 6.2  | 62  | Discontinued  | Narcotic analgesic combinations  | opioid addiction
Buprenorphine & Naloxone  | 7.8  | 1095  | Prescription only  | Narcotic analgesic combinations  | pain
Bupropion  | 7.0  | 2729  | Prescription only  | Miscellaneous antidepressants  | seasonal affective disorder
Bydureon  | 6.4  | 268  | Prescription only  | Incretin mimetics  | type 2 diabetes mellitus
Cabometyx  | 8.1  | 8  | Prescription only  | Multikinase inhibitors  | kidney cancer
Calcitriol  | 7.6  | 8  | Prescription only  | Vitamins  | hyperparathyroidism
Caplyta  | 5.1  | 94  | Prescription only  | Atypical antipsychotics  | schizophrenia
Carbamazepine  | 6.9  | 331  | Prescription only  | Dibenzazepine anticonvulsants  | bipolar disorder
Carbidopa and levodopa  | 7.3  | 86  | Prescription only  | Dopaminergic antiparkinsonism agents  | Parkinson's disease
Celebrex  | 7.0  | 211  | Prescription only  | Cox-2 inhibitors  | arthritis
Celecoxib  | 7.0  | 253  | Prescription only  | Cox-2 inhibitors  | arthritis
Celexa  | 7.3  | 857  | Prescription only  | Selective serotonin reuptake inhibitors  | depression
Cephalexin  | 6.4  | 478  | Prescription only  | First generation cephalosporins  | ear infections
Cequa  | 3.8  | 24  | Prescription only  | Ophthalmic anti-inflammatory agents  | chronic dry eye
Cetirizine  | 5.8  | 282  | Rx and/or OTC  | Antihistamines  | allergy symptoms
Chlorpheniramine  | 8.1  | 48  | Rx and/or OTC  | Antihistamines  | runny nose
Chlorthalidone  | 3.9  | 39  | Prescription only  | Thiazide diuretics  | edema
Cialis  | 8.5  | 537  | Prescription only  | Impotence agents  | erectile dysfunction (impotence)
Cimzia  | 6.8  | 69  | Prescription only  | TNF alfa inhibitors  | Crohn's disease
Cipro  | 5.3  | 317  | Prescription only  | Quinolones  | anthrax
Ciprofloxacin  | 5.0  | 905  | Prescription only  | Quinolones  | anthrax
Citalopram  | 7.5  | 2149  | Prescription only  | Selective serotonin reuptake inhibitors  | depression
Clarithromycin  | 5.4  | 815  | Prescription only  | Macrolides  | respiratory system
Claritin  | 3.4  | 45  | Rx and/or OTC  | Antihistamines  | hay fever
Clobetasol  | 8.4  | 150  | Prescription only  | Topical steroids  | plaque psoriasis
Clobex  | 8.9  | 39  | Prescription only  | Topical steroids  | plaque psoriasis
Clonazepam  | 8.1  | 1992  | Prescription only  | Benzodiazepine anticonvulsants  | seizures
Clonidine  | 7.1  | 720  | Prescription only  | Antiadrenergic agents, centrally acting  | high blood pressure
Clopidogrel  | 6.9  | 89  | Prescription only  | Platelet aggregation inhibitors  | heart attack
Codeine  | 7.8  | 59  | Prescription only  | Antitussives  | None
Colace  | 5.8  | 14  | Rx and/or OTC  | Laxatives  | constipation
Colazal  | 6.4  | 11  | Prescription only  | 5-aminosalicylates  | ulcerative colitis
Colchicine  | 7.3  | 96  | Prescription only  | Antigout agents  | pain
Concerta  | 6.8  | 402  | Prescription only  | CNS stimulants  | attention deficit hyperactivity disorder (ADHD)
Coreg  | 7.6  | 40  | Prescription only  | Non-cardioselective beta blockers  | heart failure
Cosentyx  | 6.0  | 204  | Prescription only  | Interleukin inhibitors  | psoriasis
Coumadin  | 8.9  | 22  | Prescription only  | Coumarins and indandiones  | stroke
Crestor  | 5.9  | 132  | Prescription only  | Statins  | cholesterol
Cyanocobalamin  | 8.6  | 28  | Rx and/or OTC  | Vitamins  | vitamin B12 deficiency
Cymbalta  | 6.2  | 1814  | Prescription only  | Serotonin-norepinephrine reuptake inhibitors  | major depressive disorder
Dabigatran  | 7.1  | 98  | Prescription only  | Thrombin inhibitors  | atrial fibrillation
Decadron  | 4.2  | 24  | Discontinued  | Glucocorticoids  | ulcerative colitis
Degarelix  | 9.4  | 10  | Prescription only  | Gonadotropin-releasing hormone antagonists  | prostate cancer
Delsym  | 3.3  | 237  | Rx and/or OTC  | Antitussives  | common cold
Demerol  | 9.4  | 75  | Prescription only  | Opioids (narcotic analgesics)  | manage the relief short-term pain
Denosumab  | 2.8  | 355  | Prescription only  | Miscellaneous bone resorption inhibitors  | osteoporosis
Depakote  | 6.2  | 317  | Prescription only  | Fatty acid derivative anticonvulsants  | seizures
Depo-Provera  | 4.2  | 1953  | Prescription only  | Contraceptives  | contraceptive
Desloratadine  | 4.9  | 32  | Prescription only  | Antihistamines  | allergies
Desmopressin  | 9.1  | 39  | Prescription only  | Antidiuretic hormones  | central diabetes insipidus
Desvenlafaxine  | 6.9  | 1318  | Prescription only  | Serotonin-norepinephrine reuptake inhibitors  | major depressive disorder
Desyrel  | 6.5  | 39  | Prescription only  | Phenylpiperazine antidepressants  | major depressive disorder
Dexamethasone  | 6.0  | 141  | Prescription only  | Glucocorticoids  | ulcerative colitis
Dexilant  | 6.6  | 199  | Prescription only  | Proton pump inhibitors  | heartburn
Dextroamphetamine  | 8.2  | 261  | Prescription only  | CNS stimulants  | nerves
Diazepam  | 8.5  | 804  | Prescription only  | Benzodiazepine anticonvulsants  | anxiety
Diclofenac  | 7.3  | 670  | Prescription only  | Nonsteroidal anti-inflammatory drugs  | osteoarthritis
Dicyclomine  | 7.4  | 274  | Prescription only  | Anticholinergics / antispasmodics  | irritable bowel syndrome
Diflucan  | 6.0  | 142  | Prescription only  | Azole antifungals  | bone marrow transplant
Digoxin  | 5.8  | 14  | Prescription only  | Group V antiarrhythmics  | heart failure
Dilantin  | 7.4  | 81  | Prescription only  | Group I antiarrhythmics  | seizures
Diltiazem  | 5.9  | 177  | Prescription only  | Calcium channel blocking agents  | hypertension
Diovan  | 6.8  | 65  | Prescription only  | Angiotensin receptor blockers  | high blood pressure
Divalproex sodium  | 6.5  | 486  | Prescription only  | Fatty acid derivative anticonvulsants  | seizures
Donepezil  | 5.2  | 103  | Prescription only  | Cholinesterase inhibitors  | Alzheimer's disease
Doxazosin  | 5.6  | 56  | Prescription only  | Alpha-adrenoreceptor antagonists  | hypertension
Doxycycline  | 6.5  | 1586  | Prescription only  | Miscellaneous antimalarials  | urinary tract infections
Doxylamine  | 6.4  | 218  | Rx and/or OTC  | Miscellaneous anxiolytics, sedatives and hypnotics  | runny nose
Dramamine  | 8.8  | 52  | Rx and/or OTC  | Anticholinergic antiemetics  | nausea
Dulaglutide  | 5.1  | 943  | Prescription only  | Incretin mimetics  | diabetes mellitus
Dulcolax  | 5.2  | 1074  | Over the counter  | Laxatives  | constipation
Duloxetine  | 6.1  | 2302  | Prescription only  | Serotonin-norepinephrine reuptake inhibitors  | depression
Dutasteride  | 6.1  | 60  | Prescription only  | 5-alpha-reductase inhibitors  | benign prostatic hyperplasia
Effexor XR  | 6.8  | 968  | Prescription only  | Serotonin-norepinephrine reuptake inhibitors  | major depressive disorder
Elagolix  | 5.2  | 112  | Prescription only  | Gonadotropin-releasing hormone antagonists  | endometriosis
Elavil  | 7.8  | 197  | Discontinued  | Tricyclic antidepressants  | depression
Eligard  | 4.1  | 34  | Prescription only  | Gonadotropin releasing hormones  | prostate cancer
Eliquis  | 4.9  | 204  | Prescription only  | Factor Xa inhibitors  | atrial fibrillation
Emgality  | 4.7  | 409  | Prescription only  | CGRP inhibitors  | calcitonin-gene related peptide antagonist
Empagliflozin  | 5.3  | 302  | Prescription only  | SGLT-2 inhibitors  | diabetes mellitus
Enalapril  | 5.0  | 27  | Prescription only  | Angiotensin Converting Enzyme Inhibitors  | high blood pressure
Enbrel  | 7.8  | 299  | Prescription only  | Antirheumatics  | rheumatoid arthritis
Enoxaparin  | 7.2  | 26  | Prescription only  | Heparins  | deep vein thrombosis
Entresto  | 4.8  | 177  | Prescription only  | Angiotensin receptor blockers and neprilysin inhibitors  | heart failure
Entyvio  | 5.7  | 119  | Prescription only  | Selective immunosuppressants  | ulcerative colitis
Enzalutamide  | 5.4  | 18  | Prescription only  | Antiandrogens  | prostate cancer
Epclusa  | 7.8  | 340  | Prescription only  | Antiviral combinations  | chronic hepatitis C
Eplerenone  | 4.8  | 10  | Prescription only  | Aldosterone receptor antagonists  | heart failure
Epoetin alfa  | 5.1  | 9  | Prescription only  | Recombinant human erythropoietins  | kidney failure
Ergocalciferol  | 6.7  | 31  | Rx and/or OTC  | Vitamins  | hypoparathyroidism
Escitalopram  | 7.4  | 3621  | Prescription only  | Selective serotonin reuptake inhibitors  | major depressive disorder
Esomeprazole  | 5.8  | 257  | Rx and/or OTC  | Proton pump inhibitors  | gastroesophageal reflux disease
Estrace  | 7.4  | 12  | Prescription only  | Estrogens  | menopause
Eszopiclone  | 5.6  | 408  | Prescription only  | Miscellaneous anxiolytics, sedatives and hypnotics  | insomnia
Etanercept  | 7.9  | 312  | Prescription only  | Antirheumatics  | rheumatoid arthritis
Etodolac  | 7.4  | 79  | Prescription only  | Nonsteroidal anti-inflammatory drugs  | osteoarthritis
Euthyrox  | 1.6  | 156  | Prescription only  | Thyroid drugs  | hypothyroidism
Evista  | 6.0  | 12  | Prescription only  | Hormones / antineoplastics  | osteoporosis
Exemestane  | 4.8  | 86  | Prescription only  | Aromatase inhibitors  | breast cancers
Ezetimibe  | 3.8  | 149  | Prescription only  | Cholesterol absorption inhibitors  | high blood cholesterol
Famotidine  | 4.3  | 152  | Rx and/or OTC  | H2 antagonists  | Zollinger-Ellison syndrome
Farxiga  | 4.5  | 135  | Prescription only  | SGLT-2 inhibitors  | diabetes mellitus
Fasenra  | 7.1  | 46  | Prescription only  | Interleukin inhibitors  | severe asthma
Faslodex  | 6.1  | 27  | Prescription only  | Estrogen receptor antagonists  | breast cancer
Febuxostat  | 8.1  | 61  | Prescription only  | Antihyperuricemic agents  | gout
Felodipine  | 5.1  | 17  | Prescription only  | Calcium channel blocking agents  | high blood pressure
Femara  | 6.9  | 62  | Prescription only  | Aromatase inhibitors  | breast cancer
Fenofibrate  | 5.8  | 67  | Prescription only  | Fibric acid derivatives  | high cholesterol
Fentanyl  | 7.9  | 417  | Prescription only  | Opioids (narcotic analgesics)  | moderate to severe pain
Ferrous Sulfate  | 5.3  | 41  | Rx and/or OTC  | Iron products  | iron deficiency anemia
Fexofenadine  | 6.0  | 171  | Rx and/or OTC  | Antihistamines  | allergy symptoms
Finasteride  | 4.5  | 279  | Prescription only  | 5-alpha-reductase inhibitors  | benign prostatic hyperplasia
Firmagon  | 9.4  | 8  | Prescription only  | Gonadotropin-releasing hormone antagonists  | prostate cancer
Flagyl  | 6.2  | 384  | Prescription only  | Amebicides  | trichomoniasis
Flexeril  | 6.1  | 228  | Discontinued  | Skeletal muscle relaxants  | skeletal muscle conditions
Flomax  | 5.9  | 283  | Prescription only  | Alpha-adrenoreceptor antagonists  | benign prostatic hyperplasia
Flonase  | 5.0  | 168  | Prescription only  | Nasal steroids  | sneezing, runny nose,
Florastor  | 6.0  | 16  | Over the counter  | Antidiarrheals  | diarrhea
Flovent  | 6.3  | 34  | Prescription only  | Inhaled corticosteroids  | asthma attacks
Flovent HFA  | 6.8  | 14  | Prescription only  | Inhaled corticosteroids  | asthma
Fluconazole  | 6.4  | 507  | Prescription only  | Azole antifungals  | meningitis
Fludrocortisone  | 7.5  | 40  | Prescription only  | Mineralocorticoids  | Addison's disease
Fluocinonide  | 8.3  | 47  | Prescription only  | Topical steroids  | plaque psoriasis
Fluoxetine  | 7.3  | 2073  | Prescription only  | Selective serotonin reuptake inhibitors  | major depressive disorder
Fluphenazine  | 5.7  | 23  | Prescription only  | Phenothiazine antipsychotics  | schizophrenia
Fluticasone and salmeterol  | 4.7  | 253  | Prescription only  | Bronchodilator combinations  | asthma
Fluticasone nasal  | 5.2  | 302  | Rx and/or OTC  | Nasal steroids  | nasal congestion
Fluvoxamine  | 6.7  | 350  | Prescription only  | Selective serotonin reuptake inhibitors  | obsessive compulsive disorder
Focalin  | 5.7  | 131  | Prescription only  | CNS stimulants  | attention deficit hyperactivity disorder (ADHD)
Focalin XR  | 7.1  | 110  | Prescription only  | CNS stimulants  | ADHD
Folic Acid  | 5.3  | 9  | Rx and/or OTC  | Vitamins  | Vitamin B12 deficiency
Fondaparinux  | 9.1  | 9  | Prescription only  | Factor Xa inhibitors  | deep vein thrombosis
Forteo  | 5.2  | 147  | Prescription only  | Parathyroid hormone and analogs  | osteoporosis
Fosamax  | 2.5  | 67  | Prescription only  | Bisphosphonates  | menopause
Furosemide  | 6.5  | 109  | Prescription only  | Loop diuretics  | fluid retention (edema)
Fycompa  | 5.5  | 59  | Prescription only  | AMPA receptor antagonists  | partial onset seizures
Gabapentin  | 7.1  | 2422  | Prescription only  | Gamma-aminobutyric acid analogs  | partial seizures
Galantamine  | 7.5  | 13  | Prescription only  | Cholinesterase inhibitors  | dementia
Gas-X  | 7.7  | 19  | Rx and/or OTC  | Miscellaneous GI agents  | Gas
Gemfibrozil  | 6.2  | 26  | Prescription only  | Fibric acid derivatives  | atherosclerosis
Gemtesa  | 6.2  | 27  | Prescription only  | Urinary antispasmodics  | overactive bladder
Genvoya  | 7.2  | 123  | Prescription only  | Antiviral combinations  | human immunodeficiency virus (HIV)
Gilenya  | 7.0  | 92  | Prescription only  | Selective immunosuppressants  | multiple sclerosis
Gleevec  | 8.6  | 34  | Prescription only  | BCR-ABL tyrosine kinase inhibitors  | leukemia
Glimepiride  | 6.6  | 71  | Prescription only  | Sulfonylureas  | diabetes mellitus
Glipizide  | 6.1  | 68  | Prescription only  | Sulfonylureas  | diabetes mellitus
Glucophage  | 6.9  | 40  | Discontinued  | Non-sulfonylureas  | type 2 diabetes mellitus
Glucophage XR  | 7.8  | 10  | Discontinued  | Non-sulfonylureas  | diabetes mellitus
Glucosamine & Chondroitin with MSM  | 8.0  | 15  | Over the counter  | Nutraceutical products  | osteoarthritis
Glucotrol  | 7.4  | 9  | Prescription only  | Sulfonylureas  | diabetes mellitus
Glyburide  | 7.2  | 9  | Prescription only  | Sulfonylureas  | type 2 diabetes mellitus
Glycopyrrolate  | 8.9  | 17  | Prescription only  | Anticholinergic bronchodilators  | drooling
Glyxambi  | 6.5  | 22  | Prescription only  | Antidiabetic combinations  | type 2 diabetes mellitus
GoLYTELY  | 6.3  | 74  | Prescription only  | Laxatives  | colonoscopy
Gralise  | 6.5  | 11  | Prescription only  | Gamma-aminobutyric acid analogs  | pain from damaged nerves (neuropathic pain)
Granisetron  | 6.5  | 18  | Prescription only  | 5HT3 receptor antagonists  | nausea
Griseofulvin  | 4.9  | 15  | Prescription only  | Miscellaneous antifungals  | ringworm
Guanfacine  | 5.9  | 295  | Prescription only  | Antiadrenergic agents, centrally acting  | high blood pressure
Halcion  | 7.9  | 31  | Prescription only  | Benzodiazepines  | insomnia
Haldol  | 4.3  | 60  | Prescription only  | Miscellaneous antipsychotic agents  | schizophrenia
Halobetasol  | 8.3  | 26  | Prescription only  | Topical steroids  | plaque psoriasis
Haloperidol  | 4.1  | 185  | Prescription only  | Miscellaneous antipsychotic agents  | schizophrenia
Harvoni  | 8.6  | 396  | Prescription only  | Antiviral combinations  | HIV
Herceptin  | 8.8  | 10  | Prescription only  | HER2 inhibitors  | breast cancer
Horizant  | 7.6  | 35  | Prescription only  | Gamma-aminobutyric acid analogs  | nerve pain (postherpetic neuralgia)
Humalog  | 6.8  | 19  | Prescription only  | Insulin  | diabetes mellitus
Humira  | 6.2  | 655  | Prescription only  | Antirheumatics  | rheumatoid arthritis
Hydralazine  | 2.8  | 82  | Prescription only  | Vasodilators  | high blood pressure
Hydrea  | 7.2  | 8  | Prescription only  | Antimetabolites  | chronic myeloid leukemia
Hydrochlorothiazide  | 5.2  | 178  | Prescription only  | Thiazide diuretics  | high blood pressure
Hydrochlorothiazide and lisinopril  | 5.6  | 75  | Prescription only  | ACE inhibitors with thiazides  | high blood pressure
Hydrochlorothiazide and losartan  | 6.3  | 59  | Prescription only  | Angiotensin II inhibitors with thiazides  | high blood pressure
Hydrochlorothiazide and olmesartan  | 6.2  | 31  | Prescription only  | Angiotensin II inhibitors with thiazides  | high blood pressure
Hydrochlorothiazide and telmisartan  | 6.9  | 18  | Prescription only  | Angiotensin II inhibitors with thiazides  | high blood pressure
Hydrochlorothiazide and triamterene  | 5.9  | 64  | Prescription only  | Potassium sparing diuretics with thiazides  | edema
Hydrochlorothiazide and valsartan  | 6.8  | 24  | Prescription only  | Angiotensin II inhibitors with thiazides  | high blood pressure
Hydrocodone  | 5.6  | 192  | Prescription only  | Antitussives  | severe pain
Hydrocodone and ibuprofen  | 8.6  | 74  | Prescription only  | Narcotic analgesic combinations  | pain
Hydrocortisone  | 7.5  | 26  | Prescription only  | Glucocorticoids  | ulcerative colitis
Hydromorphone  | 8.0  | 439  | Prescription only  | Opioids (narcotic analgesics)  | pain
Hydroxychloroquine  | 6.5  | 343  | Prescription only  | Antimalarial quinolines  | malaria
Hydroxyurea  | 6.7  | 35  | Prescription only  | Antimetabolites  | chronic myeloid leukemia
Hyoscyamine  | 7.8  | 102  | Prescription only  | Anticholinergics / antispasmodics  | peptic ulcer
Hyzaar  | 6.6  | 21  | Prescription only  | Angiotensin II inhibitors with thiazides  | high blood pressure
Ibrance  | 6.6  | 69  | Prescription only  | CDK 4/6 inhibitors  | breast cancer
Ibuprofen  | 7.3  | 224  | Rx and/or OTC  | Nonsteroidal anti-inflammatory drugs  | headache
Imatinib  | 8.8  | 42  | Prescription only  | BCR-ABL tyrosine kinase inhibitors  | leukemia
Imbruvica  | 5.4  | 45  | Prescription only  | BTK inhibitors  | chronic lymphocytic leukemia
Imdur  | 6.1  | 19  | Discontinued  | Antianginal agents  | angina attacks
Imipramine  | 6.9  | 71  | Prescription only  | Tricyclic antidepressants  | depression
Imitrex  | 7.8  | 200  | Prescription only  | Antimigraine agents  | headache
Imodium A-D  | 8.4  | 17  | Rx and/or OTC  | Antidiarrheals  | diarrhea
Imuran  | 5.9  | 64  | Prescription only  | Antirheumatics  | rheumatoid arthritis
Incruse Ellipta  | 2.8  | 29  | Prescription only  | Anticholinergic bronchodilators  | COPD (chronic obstructive pulmonary disease
Indapamide  | 4.5  | 20  | Prescription only  | Thiazide diuretics  | edema
Inderal  | 7.6  | 73  | Discontinued  | Group II antiarrhythmics  | angina
Indomethacin  | 7.7  | 203  | Prescription only  | Nonsteroidal anti-inflammatory drugs  | osteoarthritis
Insulin Aspart  | 5.7  | 37  | Prescription only  | Insulin  | diabetes mellitus
Insulin Detemir  | 5.7  | 47  | Prescription only  | Insulin  | diabetes mellitus
Insulin glargine  | 4.0  | 275  | Prescription only  | Insulin  | diabetes mellitus
Insulin Lispro  | 3.7  | 86  | Prescription only  | Insulin  | diabetes mellitus
Insulin Regular  | 7.6  | 21  | Rx and/or OTC  | Insulin  | diabetes mellitus
Intuniv  | 6.2  | 155  | Prescription only  | Antiadrenergic agents, centrally acting  | attention deficit hyperactivity disorder (ADHD)
Invega  | 4.7  | 209  | Prescription only  | Atypical antipsychotics  | schizophrenia
Invega Sustenna  | 3.6  | 174  | Prescription only  | Atypical antipsychotics  | schizophrenia
Invokana  | 5.8  | 257  | Prescription only  | SGLT-2 inhibitors  | diabetes mellitus
Irbesartan  | 4.5  | 98  | Prescription only  | Angiotensin receptor blockers  | high blood pressure
Isoniazid  | 5.5  | 28  | Prescription only  | Hydrazide derivatives  | tuberculosis
Isosorbide  | 5.0  | 88  | Prescription only  | Antianginal agents  | angina attacks
Isotretinoin  | 8.0  | 1038  | Prescription only  | Miscellaneous antineoplastics  | acne
Ivabradine  | 6.3  | 16  | Prescription only  | Miscellaneous cardiovascular agents  | heart failure
Jakafi  | 6.2  | 18  | Prescription only  | Multikinase inhibitors  | polycythemia vera
Jalyn  | 6.1  | 20  | Prescription only  | 5-alpha-reductase inhibitors  | benign prostatic hyperplasia (BPH)
Janumet  | 6.0  | 64  | Prescription only  | Antidiabetic combinations  | type 2 diabetes mellitus
Januvia  | 4.6  | 125  | Prescription only  | Dipeptidyl peptidase 4 inhibitors  | type 2 diabetes mellitus
Jardiance  | 5.3  | 288  | Prescription only  | SGLT-2 inhibitors  | diabetes mellitus
Jentadueto  | 6.0  | 16  | Prescription only  | Antidiabetic combinations  | type 2 diabetes mellitus
Jolivette  | 5.0  | 111  | Discontinued  | Contraceptives  | birth control
Jublia  | 5.5  | 222  | Prescription only  | Topical antifungals  | onychomycosis
Kadian  | 8.1  | 48  | Prescription only  | Opioids (narcotic analgesics)  | moderate to severe pain
Kapvay  | 7.4  | 18  | Prescription only  | Antiadrenergic agents, centrally acting  | attention deficit hyperactivity disorder (ADHD)
Keflex  | 7.3  | 86  | Prescription only  | First generation cephalosporins  | ear infections
Keppra  | 5.7  | 289  | Prescription only  | Pyrrolidine anticonvulsants  | epilepsy
Kesimpta  | 6.0  | 30  | Prescription only  | CD20 monoclonal antibodies  | multiple sclerosis (MS)
Ketamine  | 4.9  | 144  | Prescription only  | General anesthetics  | pain
Ketoconazole  | 6.9  | 25  | Prescription only  | Azole antifungals  | liver transplant
Ketoconazole topical  | 6.9  | 40  | Rx and/or OTC  | Topical antifungals  | athlete's foot
Ketoprofen  | 9.4  | 28  | Rx and/or OTC  | Nonsteroidal anti-inflammatory drugs  | pain
Ketorolac ophthalmic  | 7.5  | 9  | Prescription only  | Ophthalmic anti-inflammatory agents  | pain
Ketotifen ophthalmic  | 7.0  | 21  | Over the counter  | Ophthalmic antihistamines and decongestants  | runny nose
Kevzara  | 5.5  | 20  | Prescription only  | Antirheumatics  | rheumatoid arthritis
Kisqali  | 8.8  | 12  | Prescription only  | CDK 4/6 inhibitors  | breast cancer
Klonopin  | 8.5  | 725  | Prescription only  | Benzodiazepine anticonvulsants  | seizures
Klor-Con  | 6.4  | 11  | Rx and/or OTC  | Minerals and electrolytes  | hypokalemia
